date,price,pred
2022-03-09,3.532535,3.61403903
2022-03-10,3.537035,3.57471012
2022-03-11,3.672036,3.58109773
2022-03-14,3.640536,3.61739452
2022-03-15,3.649536,3.61395018
2022-03-16,3.726037,3.65482414
2022-03-17,3.820538,3.72185474
2022-03-18,3.820538,3.75469975
2022-03-21,3.915039,3.7994153
2022-03-22,3.901539,3.86719684
2022-03-23,3.946539,3.88988917
2022-03-24,4.06804,3.93451595
2022-03-25,4.05904,4.01081872
2022-03-28,3.924039,4.00151842
2022-03-29,3.856538,3.95780659
2022-03-30,3.843038,3.91477249
2022-03-31,3.811538,3.86277206
2022-04-01,4.02754,3.85047405
2022-04-04,3.973539,3.9348525
2022-04-05,3.991539,3.94418137
2022-04-06,4.149041,4.00682643
2022-04-07,4.144541,4.09771389
2022-04-08,4.113041,4.08801935
2022-04-11,4.324543,4.12979528
2022-04-12,4.554045,4.27356113
2022-04-13,4.815048,4.38440218
2022-04-14,4.810548,4.54828509
2022-04-15,4.711547,4.72158537
2022-04-18,4.806048,4.75837113
2022-04-19,4.851048,4.80600353
2022-04-20,4.959049,4.82821506
2022-04-21,4.846548,4.87147279
2022-04-22,4.891548,4.86879183
2022-04-25,4.941049,4.89967892
2022-04-26,4.716047,4.89199437
2022-04-27,4.819548,4.80006399
2022-04-28,4.725047,4.81630251
2022-04-29,4.801548,4.74827664
2022-05-05,4.783547,4.77070895
2022-05-06,4.738547,4.78366128
2022-05-09,4.680046,4.75163069
2022-05-10,4.761047,4.73766491
2022-05-11,4.869048,4.77086597
2022-05-12,4.815048,4.79972983
2022-05-13,4.693546,4.78767655
2022-05-16,4.590045,4.72819777
2022-05-17,4.554045,4.66579535
2022-05-18,4.369543,4.56833037
2022-05-20,4.297542,4.45310428
2022-05-23,4.473044,4.39550969
2022-05-24,4.486544,4.42225369
2022-05-25,4.576545,4.43665727
2022-05-26,4.522545,4.51607256
2022-05-27,4.576545,4.5469431
2022-05-30,4.554045,4.55687644
2022-05-31,4.572045,4.55250304
2022-06-01,4.747547,4.57984499
2022-06-02,4.873548,4.68737105
2022-06-03,4.806048,4.75191598
2022-06-06,4.828548,4.80147294
2022-06-07,4.806048,4.81789575
2022-06-08,4.995049,4.83893556
2022-06-09,5.02205,4.9165407
2022-06-10,4.693546,4.91295001
2022-06-13,4.689046,4.82075659
2022-06-14,4.891548,4.78491055
2022-06-15,5.03555,4.77883237
2022-06-16,4.8,4.8556743
2022-06-17,4.71,4.84923128
2022-06-20,4.88,4.81202544
2022-06-21,4.84,4.79445126
2022-06-22,4.9,4.79977854
2022-06-23,4.86,4.867916
2022-06-24,4.75,4.86708288
2022-06-27,4.7,4.78200785
2022-06-28,4.58,4.73781336
2022-06-29,4.5,4.62627714
2022-06-30,4.39,4.52330892
2022-07-01,4.5,4.41128152
2022-07-04,4.4,4.441644
2022-07-05,4.4,4.471867
2022-07-06,4.44,4.413611
2022-07-07,,4.46014966
